Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddDriver,Chrome 67.0.3396.99,,2018-07-11 17:26:27,2018-07-11 17:26:56,29.139s,PASSED
,,,,,,
Test Cases/CRM/AddDriver,Chrome 67.0.3396.99,,2018-07-11 17:26:28,2018-07-11 17:26:56,28.498s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-11 17:26:29,2018-07-11 17:26:32,3.555s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-11 17:26:32,2018-07-11 17:26:39,6.619s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-11 17:26:39,2018-07-11 17:26:40,1.190s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:40,2018-07-11 17:26:40,0.336s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:40,2018-07-11 17:26:40,0.190s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:40,2018-07-11 17:26:42,1.949s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:42,2018-07-11 17:26:43,0.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:43,2018-07-11 17:26:43,0.161s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:43,2018-07-11 17:26:44,1.620s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:44,2018-07-11 17:26:45,0.423s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:45,2018-07-11 17:26:45,0.225s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:45,2018-07-11 17:26:45,0.300s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:45,2018-07-11 17:26:45,0.169s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:45,2018-07-11 17:26:46,0.127s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:26:46,2018-07-11 17:26:46,0.155s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:46,2018-07-11 17:26:46,0.158s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:46,2018-07-11 17:26:46,0.029s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:46,2018-07-11 17:26:46,0.164s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:46,2018-07-11 17:26:46,0.172s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:46,2018-07-11 17:26:46,0.154s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:46,2018-07-11 17:26:47,0.119s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:47,2018-07-11 17:26:47,0.032s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:47,2018-07-11 17:26:47,0.175s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:47,2018-07-11 17:26:47,0.138s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:47,2018-07-11 17:26:47,0.148s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:47,2018-07-11 17:26:47,0.237s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:47,2018-07-11 17:26:47,0.217s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-11 17:26:47,2018-07-11 17:26:48,0.267s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:48,2018-07-11 17:26:48,0.145s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:48,2018-07-11 17:26:48,0.109s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:48,2018-07-11 17:26:48,0.149s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:26:48,2018-07-11 17:26:48,0.075s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:48,2018-07-11 17:26:49,0.527s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:49,2018-07-11 17:26:50,1.098s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:50,2018-07-11 17:26:50,0.539s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:26:50,2018-07-11 17:26:50,0.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:50,2018-07-11 17:26:51,0.134s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:51,2018-07-11 17:26:52,1.058s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:52,2018-07-11 17:26:52,0.185s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:52,2018-07-11 17:26:52,0.020s,PASSED
mouseOver,Chrome 67.0.3396.99,,2018-07-11 17:26:52,2018-07-11 17:26:52,0.176s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:52,2018-07-11 17:26:52,0.172s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:52,2018-07-11 17:26:54,1.569s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:54,2018-07-11 17:26:54,0.159s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:54,2018-07-11 17:26:54,0.027s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:54,2018-07-11 17:26:55,0.653s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-11 17:26:55,2018-07-11 17:26:55,0.036s,PASSED
click,Chrome 67.0.3396.99,,2018-07-11 17:26:55,2018-07-11 17:26:55,0.735s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-11 17:26:55,2018-07-11 17:26:56,0.903s,PASSED
