Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultipleSignUp,Chrome 67.0.3396.99,,2018-07-10 19:32:49,2018-07-10 19:34:47,1m - 57.998s,PASSED
,,,,,,
Test Cases/Demo/MultipleSignUp,Chrome 67.0.3396.99,,2018-07-10 19:32:49,2018-07-10 19:34:47,1m - 57.460s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo/SignUp),Chrome 67.0.3396.99,,2018-07-10 19:32:50,2018-07-10 19:32:50,0.045s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 4))),Chrome 67.0.3396.99,,2018-07-10 19:32:50,2018-07-10 19:34:47,1m - 56.899s,PASSED
