Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddZone,Chrome 67.0.3396.99,,2018-07-16 18:43:58,2018-07-16 18:44:21,23.534s,FAILED
,,,,,,
Test Cases/CRM/AddZone,Chrome 67.0.3396.99,,2018-07-16 18:43:58,2018-07-16 18:44:20,22.104s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-16 18:43:59,2018-07-16 18:44:03,3.774s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-16 18:44:03,2018-07-16 18:44:10,7.092s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-07-16 18:44:10,2018-07-16 18:44:11,1.207s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-16 18:44:11,2018-07-16 18:44:11,0.398s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-16 18:44:11,2018-07-16 18:44:12,0.462s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:44:12,2018-07-16 18:44:17,5.716s,PASSED
waitForJQueryLoad,Chrome 67.0.3396.99,,2018-07-16 18:44:17,2018-07-16 18:44:18,0.111s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:44:18,2018-07-16 18:44:18,0.135s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:44:18,2018-07-16 18:44:18,0.180s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:44:18,2018-07-16 18:44:20,2.091s,PASSED
click,Chrome 67.0.3396.99,,2018-07-16 18:44:20,2018-07-16 18:44:20,0.352s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-16 18:44:20,2018-07-16 18:44:20,0.057s,FAILED
