Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
InputNewEmailInBookNow,Chrome 67.0.3396.99,,2018-07-31 19:05:02,2018-07-31 19:05:11,9.097s,PASSED
,,,,,,
Test Cases/CRMLogicalFlow/Frontend/InputNewEmailInBookNow,Chrome 67.0.3396.99,,2018-07-31 19:05:03,2018-07-31 19:05:11,8.260s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 67.0.3396.99,,2018-07-31 19:05:03,2018-07-31 19:05:06,3.403s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-31 19:05:07,2018-07-31 19:05:09,2.357s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 19:05:09,2018-07-31 19:05:10,0.626s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-31 19:05:10,2018-07-31 19:05:10,0.579s,PASSED
click,Chrome 67.0.3396.99,,2018-07-31 19:05:10,2018-07-31 19:05:11,0.216s,PASSED
Start listener action : sampleAfterTestCase,Chrome 67.0.3396.99,,2018-07-31 19:05:11,2018-07-31 19:05:11,0.757s,PASSED
