Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultipleSignUp,Chrome 67.0.3396.99,,2018-07-18 16:17:41,2018-07-18 16:23:49,6m - 7.965s,PASSED
,,,,,,
Test Cases/Demo/MultipleSignUp,Chrome 67.0.3396.99,,2018-07-18 16:17:41,2018-07-18 16:23:49,6m - 7.361s,PASSED
Statement - data = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Demo/SignUp),Chrome 67.0.3396.99,,2018-07-18 16:17:42,2018-07-18 16:17:42,0.031s,PASSED
Statement - For (def index : (0..(data.getRowNumbers() - 7))),Chrome 67.0.3396.99,,2018-07-18 16:17:42,2018-07-18 16:23:49,6m - 6.782s,PASSED
