Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
StaffUserLogin,Firefox 61.0,,2018-09-05 16:39:10,2018-09-05 16:39:58,47.645s,FAILED
,,,,,,
Test Cases/CRM/URM/StaffUserlogin,Firefox 61.0,,2018-09-05 16:39:11,2018-09-05 16:39:57,46.553s,FAILED
openBrowser,Firefox 61.0,,2018-09-05 16:39:11,2018-09-05 16:39:17,6.214s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-05 16:39:17,2018-09-05 16:39:22,4.802s,PASSED
setText,Firefox 61.0,,2018-09-05 16:39:22,2018-09-05 16:39:22,0.290s,PASSED
setEncryptedText,Firefox 61.0,,2018-09-05 16:39:22,2018-09-05 16:39:23,0.359s,PASSED
click,Firefox 61.0,,2018-09-05 16:39:23,2018-09-05 16:39:25,2.077s,PASSED
waitForPageLoad,Firefox 61.0,,2018-09-05 16:39:25,2018-09-05 16:39:25,0.076s,PASSED
waitForJQueryLoad,Firefox 61.0,,2018-09-05 16:39:25,2018-09-05 16:39:25,0.045s,PASSED
click,Firefox 61.0,,2018-09-05 16:39:25,2018-09-05 16:39:25,0.295s,PASSED
click,Firefox 61.0,,2018-09-05 16:39:25,2018-09-05 16:39:25,0.255s,PASSED
takeScreenshot,Firefox 61.0,,2018-09-05 16:39:25,2018-09-05 16:39:26,0.294s,PASSED
click,Firefox 61.0,,2018-09-05 16:39:26,2018-09-05 16:39:57,31.568s,FAILED
